date,temperature,relative_humidity,pressure,wind_speed,wind_direction,visibility
2017-12-19,22,94.06,30.22,0,0,10.0
2023-08-31,33,66.78,29.92,9,240,10.0
2019-04-28,22,88.44,29.98,0,0,10.0
2020-07-19,29,74.47,29.99,5,80,10.0
2015-05-05,24,69.16,30.11,7,60,10.0
2017-02-17,14,82.14,30.07,5,320,8.0
2022-12-27,14,100.0,30.14,3,350,10.0
2014-03-17,23,88.52,29.8,7,170,9.0
2021-02-06,22,88.44,29.99,4,140,10.0
2022-01-28,22,73.29,29.94,7,260,10.0
2022-07-15,29,70.11,30.14,4,120,10.0
2023-10-28,28,61.84,30.05,7,60,10.0
2017-11-18,27,61.61,29.92,7,100,10.0
2023-04-18,24,83.34,29.93,5,350,10.0
2020-08-08,29,79.06,30.14,3,40,10.0
2018-09-26,31,66.38,30.08,10,140,10.0
2015-10-22,24,83.34,30.04,6,360,10.0
2021-02-23,23,88.52,30.12,6,140,10.0
2020-05-22,30,62.28,30.03,14,90,10.0
2022-09-14,26,88.76,29.91,4,120,10.0
2016-11-13,20,88.27,30.03,0,0,10.0
2015-01-14,24,73.63,30.07,8,360,10.0
2018-08-08,27,94.27,30.06,4,100,10.0
2022-04-26,24,73.63,30.07,12,100,10.0
2019-02-15,19,93.93,29.98,3,330,10.0
2023-06-15,31,70.48,30.0,5,160,10.0
2018-11-26,26,78.64,29.96,9,240,10.0
2017-09-17,32,55.56,29.98,9,310,10.0
2016-12-15,24,78.35,30.05,4,260,10.0
2020-05-02,27,47.82,30.1,12,80,10.0
2015-08-04,26,83.57,30.02,0,0,10.0
2021-08-29,29,74.47,30.04,9,100,10.0
2021-10-02,27,69.74,30.08,5,50,10.0
2018-06-04,26,94.23,30.01,5,240,10.0
2015-04-22,26,78.64,29.98,0,0,10.0
2014-01-06,23,78.21,30.03,3,170,10.0
2021-02-15,24,94.15,30.01,4,160,10.0
2014-10-01,29,70.11,29.88,4,260,10.0
2023-06-23,30,84.01,30.05,7,120,10.0
2015-06-18,29,70.11,30.12,7,140,10.0
2021-07-29,30,70.29,30.06,0,0,10.0
2023-08-01,28,83.79,30.01,0,0,10.0
2021-02-08,24,88.6,30.04,3,160,10.0
2017-04-30,29,62.06,30.07,14,90,10.0
2017-03-31,24,69.16,29.97,8,130,10.0
2019-11-21,18,67.97,30.13,4,320,10.0
2023-03-26,29,62.06,30.1,14,130,10.0
2014-11-29,20,60.0,30.25,5,360,10.0
2019-05-05,26,78.64,29.92,4,140,10.0
2016-12-07,29,65.98,30.0,5,280,10.0
2022-05-07,30,62.28,29.81,9,270,10.0
2020-12-26,13,43.93,30.21,7,310,10.0
2014-09-09,28,74.3,30.04,5,110,10.0
2015-04-14,30,51.76,30.11,10,110,10.0
2014-12-20,25,57.39,30.04,7,140,10.0
2018-09-27,31,70.48,30.03,17,100,10.0
2023-09-30,28,78.92,29.93,0,0,10.0
2014-04-19,28,65.77,29.97,5,300,10.0
2017-09-13,28,83.79,29.94,3,320,10.0
2018-12-10,21,73.11,30.09,8,310,10.0
2015-04-24,31,55.32,29.97,6,320,10.0
2019-05-14,26,73.97,29.93,0,0,10.0
2021-09-09,29,83.9,29.98,3,210,10.0
2015-02-08,19,59.76,30.19,6,50,10.0
2014-06-27,27,78.78,30.08,0,0,10.0
2017-01-30,12,93.6,30.13,0,0,10.0
2020-11-17,24,88.6,30.07,3,340,10.0
2022-02-24,22,83.11,30.16,0,0,10.0
2015-12-24,26,78.64,30.12,9,120,10.0
2014-03-05,23,78.21,30.01,4,160,10.0
2014-11-10,19,93.93,29.89,5,350,10.0
2018-04-07,24,73.63,29.99,8,100,10.0
2015-03-25,24,73.63,30.07,5,230,10.0
2021-09-08,28,74.3,30.0,0,0,10.0
2022-10-29,24,78.35,30.06,3,360,10.0
2019-02-21,24,88.6,30.1,10,130,10.0
2019-02-05,23,73.46,30.09,6,70,10.0
2014-07-20,26,88.76,30.04,0,0,10.0
2017-04-06,25,88.68,29.96,8,180,8.0
2020-07-07,28,83.79,30.07,0,0,10.0
2019-02-02,23,83.22,30.16,7,120,10.0
2015-08-25,32,59.04,29.97,4,130,10.0
2020-02-19,24,83.34,30.11,5,130,10.0
2023-11-05,23,88.52,29.98,3,320,10.0
2020-08-10,33,59.27,30.09,12,80,10.0
2014-11-16,24,73.63,30.15,6,90,10.0
2018-09-22,28,78.92,30.01,8,100,10.0
2023-10-14,29,83.9,29.86,6,250,10.0
2021-07-18,28,74.3,30.13,6,110,10.0
2022-10-31,29,74.47,29.99,4,110,10.0
2017-12-17,23,64.72,30.21,5,50,10.0
2019-02-04,22,83.11,30.01,4,290,10.0
2021-10-17,32,49.14,29.94,6,300,10.0
2020-04-23,27,57.87,30.01,11,110,10.0
2020-01-29,27,44.83,29.88,13,230,10.0
2022-11-03,27,78.78,30.09,4,60,10.0
2017-10-02,29,74.47,29.96,13,80,10.0
2014-05-20,26,57.63,30.13,12,60,10.0
